写真区分,写真種別,工種,種別,細別,備考,検索パターン
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","調整金具取付","調整金具パッキン使用",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","調整金具取付","固定用ボルト設置状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","調整金具取付","取付完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔高さ調整","人孔(上部)高さ調整完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔高さ調整","高さ調整状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔内部清掃","人孔内清掃前状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔内部清掃","人孔内清掃完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔内部清掃","人孔内コンクリート撤去清掃状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","舗装版切断","舗装版切断状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","舗装版切断","完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","舗装版破砕積込","舗装版破砕積込状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","舗装版破砕積込","積込完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","コンクリートはつり工","はつり工状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","コンクリートはつり工","はつり工完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","汚泥吸排車","汚泥吸排状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","汚泥吸排車","汚泥吸排完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","表層工","表層工施工状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","表層工","表層工完了",""
"直接工事費","品質管理写真","人孔改良工","人孔蓋据付撤去工","表層工","アスファルト混合物温度測定","温度管理|合材温度|出荷温度|到着温度|敷均し温度|初期転圧温度"
"直接工事費","品質管理写真","人孔改良工","人孔蓋据付撤去工","上層路盤","現場密度測定","密度測定|RI計器|砂置換法"
