費目,写真区分,工種,種別,細別,備考,検索パターン
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","2次転圧状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","施工完了",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","鋤取り状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","補足材搬入状況 M-40",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","補足材搬入状況 RC-40",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","補足材搬入状況 RM-40",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","不陸整正状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","転圧状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","上層路盤工","上層路盤完了",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","プライムコート乳剤散布状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","プライムコート養生砂散布状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","プライムコート養生砂清掃状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","端部乳剤塗布状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","舗設状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","初期転圧状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","2次転圧状況",""
"直接工事費","施工状況写真","舗装工","未舗装部舗装工","表層工","施工完了",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","上層路盤工","補足材搬入状況 M-40",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","上層路盤工","補足材搬入状況 RC-40",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","上層路盤工","補足材搬入状況 RM-40",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","上層路盤工","不陸整正状況",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","上層路盤工","転圧状況",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","上層路盤工","上層路盤完了",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","表層工","プライムコート乳剤散布状況",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","表層工","プライムコート養生砂散布状況",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","表層工","プライムコート養生砂清掃状況",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","表層工","端部乳剤塗布状況",""
"直接工事費","施工状況写真","舗装工","瀝青安定処理路盤工","表層工","施工完了",""
"直接工事費","使用材料写真","舗装工","舗装打換え工","表層工","材料検収状況",""
"直接工事費","使用材料写真","舗装工","舗装打換え工","表層工","搬入状況",""
"直接工事費","品質管理写真","舗装工","舗装打換え工","上層路盤工","現場密度測定","密度測定|RI計器|砂置換法"
"直接工事費","品質管理写真","舗装工","舗装打換え工","表層工","舗装日外気温測定","舗装日外気温|外気温"
"直接工事費","品質管理写真","舗装工","舗装打換え工","表層工","到着温度測定","到着温度|出荷温度|合材到着|合材温度|運搬温度"
"直接工事費","品質管理写真","舗装工","舗装打換え工","表層工","敷均し温度測定","敷均し温度|敷きならし|舗設温度|敷均温度"
"直接工事費","品質管理写真","舗装工","舗装打換え工","表層工","初期締固め前温度測定","初期締固|初転圧前|初期転圧温度|初期転圧前|締固め前温度|締固め温度"
"直接工事費","品質管理写真","舗装工","舗装打換え工","表層工","開放温度測定","開放温度|解放温度|交通開放"
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","舗装日外気温測定","舗装日外気温|外気温"
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","到着温度測定","到着温度|出荷温度|合材到着|合材温度|運搬温度"
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","敷均し温度測定","敷均し温度|敷きならし|舗設温度|敷均温度"
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","初期締固め前温度測定","初期締固|初転圧前|初期転圧温度|初期転圧前|締固め前温度|締固め温度"
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","開放温度測定","開放温度|解放温度|交通開放"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","上層路盤工","不陸整正出来形","路盤出来形|出来形検測|路盤|基準高下がり|基準高"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","上層路盤工","不陸整正出来形・管理値",""
"直接工事費","出来形管理写真","舗装工","舗装打換え工","上層路盤工","不陸整正出来形・接写",""
"直接工事費","出来形管理写真","舗装工","舗装打換え工","上層路盤工","砕石厚測定",""
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","コアー採取前","コアー採取前|コア採取前"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","コアー採取状況","コアー採取状況|コア採取状況|コアー採集"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","コアー厚さ測定","コアー厚さ測定|コア厚測定|舗装厚測定|コア厚さ"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","コアー復築前","コアー復築前|コア復築前"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","コアー復築状況","コアー復築状況|コア復築状況|コアー復築"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","コアー復築完了","コアー復築完了|コア復築完了"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","平坦性試験実施状況","平坦性試験|3mプロフィルメータ|プロフィルメータ|3m直定規"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","社内検査実施状況","社内検査|出来形管理表"
"直接工事費","出来形管理写真","舗装工","舗装打換え工","表層工","下検査実施状況","下検査"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","コアー採取前","コアー採取前|コア採取前"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","コアー採取状況","コアー採取状況|コア採取状況|コアー採集"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","コアー厚さ測定","コアー厚さ測定|コア厚測定|舗装厚測定|コア厚さ"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","コアー復築前","コアー復築前|コア復築前"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","コアー復築状況","コアー復築状況|コア復築状況|コアー復築"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","コアー復築完了","コアー復築完了|コア復築完了"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","平坦性試験実施状況","平坦性試験|3mプロフィルメータ|プロフィルメータ|3m直定規"
"直接工事費","出来形管理写真","舗装工","切削オーバーレイ工","表層工","社内検査実施状況","社内検査|出来形管理表"
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","アスファルト塊処分施設",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","As塊処分施設許可票",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","アスファルト塊計量状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","アスファルト塊処分状況",""
"直接工事費","出来形管理写真","舗装工","路面切削工","路面切削","路面切削工出来形測定","切削出来形|切削工出来形"
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","路面切削状況",""
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","切削殻積込状況",""
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","路面清掃状況",""
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","舗装版破砕状況","舗装版破砕"
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","切削完了","切削完了"
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","端部舗装版撤去状況","端部舗装版撤去"
"直接工事費","施工状況写真","舗装工","路面切削工","路面切削","不純物の除去確認","不純物.*除去|除去確認"
"直接工事費","施工状況写真","舗装工","路面切削工","殻運搬","",""
"直接工事費","施工状況写真","舗装工","路面切削工","殻運搬","トラックスケール積載量確認","トラックスケール|積載量確認|計量"
"直接工事費","施工状況写真","舗装工","路面切削工","殻処分","As殻処分状況　社内検査","処分状況|社内検査|ASガラ|中間処理施設|許可番号|積載量"
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","",""
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","タックコート乳剤散布状況","タックコート|乳剤散布"
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","端部乳剤塗布状況",""
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","舗設状況",""
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","初期転圧状況",""
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","2次転圧状況",""
"直接工事費","施工状況写真","舗装工","切削オーバーレイ工","表層工","施工完了",""
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","アスファルト乳剤\n散布量試験","散布量試験|散布量"
"直接工事費","品質管理写真","舗装工","切削オーバーレイ工","表層工","出荷指示確認","出荷指示|出荷確認"
"直接工事費","その他","舗装工","","","使用機械",""
"直接工事費","その他","舗装工","","","バックホウ0.15m3","バックホウ|バックホー|0\\.15"
"直接工事費","その他","舗装工","","","バックホウ0.2m3","バックホウ|バックホー|0\\.2"
"直接工事費","その他","舗装工","","","コンバインドローラー","コンバインドローラー|コンバインド"
"直接工事費","その他","舗装工","","","3tタイヤローラー","タイヤローラー|タイヤローラ|3t"
"直接工事費","その他","舗装工","","","特定自主検査標章","特定自主検査|自主検査標章|検査標章"
"直接工事費","その他","舗装工","","","排出ガス対策型
低騒音型標章","排出ガス対策型|排ガス対策|低騒音型|超低騒音"
